id1,id2
2263_9_2,979_8_3
1359_6_0,3133_1_1
1448_3_7,1921_4_3
1763_4_0,2004_4_6
2289_8_7,2672_0_5
2307_7_4,2913_0_5
2816_7_0,3408_4_4
1158_2_5,3449_1_1
1208_12_2,261_4_8
121_8_2,3952_2_0
1218_5_0,3285_4_7
1242_11_3,2448_1_4
1260_6_0,1344_1_2
129_3_1,2430_11_3
1590_10_4,3963_6_5
1610_11_0,3767_8_2
1651_7_0,3867_11_3
1679_4_0,3237_11_0
1726_8_1,896_2_3
1825_9_1,3954_3_0
1870_1_3,3787_6_3
1908_3_4,701_5_6
2010_5_0,862_6_3
2037_6_5,3792_7_6
2056_2_0,3642_2_1
2092_2_3,754_9_0
22_4_5,2907_9_0
2367_10_5,2959_2_3
2380_6_4,2410_8_1
2446_4_4,3740_5_0
2518_10_0,3250_9_3
2668_9_7,3075_9_6
2755_4_0,3594_3_6
2757_1_1,735_4_3
2931_6_6,3495_2_3
2974_3_3,387_9_1
299_5_6,3755_4_1
3176_7_0,3457_4_5
3215_3_3,891_2_1
3366_0_0,3953_0_5
3403_8_3,457_9_5
3490_1_7,3591_3_7
365_9_3,848_2_1
3782_5_1,3806_1_4
857_7_3,880_3_0
1015_7_6,1104_1_1
1036_10_0,609_1_1
1045_8_2,3616_0_2
1053_2_3,2081_2_4
1076_0_7,3_5_4
1084_12_0,2598_6_4
1102_6_0,1261_5_0
1137_1_3,2321_5_8
1187_8_3,1892_11_2
1254_1_3,1669_8_0
1264_10_1,3217_1_3
1275_6_1,2459_5_2
1287_0_2,391_3_0
1299_13_3,3440_2_3
1304_3_4,2010_5_0
1306_2_3,3545_0_0
1350_7_0,1577_5_2
1398_6_6,935_9_5
1405_9_8,2012_5_5
1445_8_0,1580_7_4
1458_3_5,1739_13_0
1473_4_3,3259_8_3
148_10_1,3392_3_1
1483_2_3,2022_10_6
1504_1_4,2857_12_2
1518_5_1,3312_5_2
1530_0_7,1714_0_1
1563_4_4,610_11_7
1618_11_4,239_1_2
1646_1_2,3521_7_0
1681_9_7,1732_0_1
1696_6_2,207_7_4
1707_13_5,755_5_2
1734_3_2,2944_0_2
1750_2_4,1971_9_0
1752_11_5,2318_4_2
1773_1_3,2155_4_4
1803_4_2,201_2_1
182_6_2,3963_2_8
1830_4_3,1884_5_0
1832_6_4,2689_2_1
1838_7_3,3245_6_2
189_4_7,75_1_3
192_6_1,3084_9_6
1927_3_1,375_7_2
1952_1_4,3199_7_5
1959_0_7,777_7_2
1979_3_5,2907_8_2
1994_4_2,3648_6_2
20_6_2,2800_8_5
